org_dataset	id	org	org_stance	response	response_stance	label	topic
comargGM	2arg5	Major world religions are against gay marriages	Con	In answer to It is wrong to create fatherless or motherless families by design. Same-sex marriages have more to do with the desires of adults than the needs of children. Human experience and a vast body of social science research show that children do best in married, mother-father households..Bologna!!There is no solid evidence saying that gay couples put children in an unstable environment children need love and acceptance it doesn't matter what your sexual orientation is if you are capable of being responsible and compassionate- there are many good married Christian parents who abuse and shame their children- Children need positive role models not intolerance and a morality that picks and chooses what's right and wrong, and translates the bible to suit their own agenda.As for Ann Landers comment that gay marriage 'flies in the face of cultural and traditional family life as we have known it for centuries. And that's where I must draw the line. Sorry.- Obviously the first few thousand years of existence when people lived without marriage and in poly-amorous extended families, with different spiritual beliefs is not a part of history she cares to learn about Christianity was not the first religion and God is way too big to fit into such a limited un-inclusive belief system	Pro	N	GM
comargGM	2arg6	Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.	Pro	In answer to It is wrong to create fatherless or motherless families by design. Same-sex marriages have more to do with the desires of adults than the needs of children. Human experience and a vast body of social science research show that children do best in married, mother-father households..Bologna!!There is no solid evidence saying that gay couples put children in an unstable environment children need love and acceptance it doesn't matter what your sexual orientation is if you are capable of being responsible and compassionate- there are many good married Christian parents who abuse and shame their children- Children need positive role models not intolerance and a morality that picks and chooses what's right and wrong, and translates the bible to suit their own agenda.As for Ann Landers comment that gay marriage 'flies in the face of cultural and traditional family life as we have known it for centuries. And that's where I must draw the line. Sorry.- Obviously the first few thousand years of existence when people lived without marriage and in poly-amorous extended families, with different spiritual beliefs is not a part of history she cares to learn about Christianity was not the first religion and God is way too big to fit into such a limited un-inclusive belief system	Pro	N	GM
comargGM	2arg7	Marriage should be between a man and a woman	Con	In answer to It is wrong to create fatherless or motherless families by design. Same-sex marriages have more to do with the desires of adults than the needs of children. Human experience and a vast body of social science research show that children do best in married, mother-father households..Bologna!!There is no solid evidence saying that gay couples put children in an unstable environment children need love and acceptance it doesn't matter what your sexual orientation is if you are capable of being responsible and compassionate- there are many good married Christian parents who abuse and shame their children- Children need positive role models not intolerance and a morality that picks and chooses what's right and wrong, and translates the bible to suit their own agenda.As for Ann Landers comment that gay marriage 'flies in the face of cultural and traditional family life as we have known it for centuries. And that's where I must draw the line. Sorry.- Obviously the first few thousand years of existence when people lived without marriage and in poly-amorous extended families, with different spiritual beliefs is not a part of history she cares to learn about Christianity was not the first religion and God is way too big to fit into such a limited un-inclusive belief system	Pro	A	GM
comargGM	3arg1	Gay couples can declare their union without resort to marriage	Con	There is a mixed up message in culture today thinking the church is invading in political issues and that it has to do with our constitutional rights. This is the complete reverse of what was written in a letter by Thomas Jefferson when he stated, Believing with you that religion is a matter which lies solely between man and his God; that he owes account to none other for his faith or his worship; that the legislative powers of the government reach actions only, and not opinions, I contemplate with sovereign reverence that act of the whole American people which declared that their legislature should `make no law respecting an establishment of religion, or prohibiting the free exercise thereof, thus building a wall of separation between church and State. Adhering to this expression of the supreme will of the nation in behalf of the rights of conscience, I shall see with sincere satisfaction the progress of those sentiments which tend to restore man to all of his natural rights, convinced he has no natural right in opposition to his social duties. It means the government should not butt in with the business of God and the church. A True Marriage is between God, man, and woman. NOT Ones government or county!	Con	N	GM
comargGM	3arg2	Gay couples should be able to take advantage of the fiscal and legal benefits of marriage	Pro	There is a mixed up message in culture today thinking the church is invading in political issues and that it has to do with our constitutional rights. This is the complete reverse of what was written in a letter by Thomas Jefferson when he stated, Believing with you that religion is a matter which lies solely between man and his God; that he owes account to none other for his faith or his worship; that the legislative powers of the government reach actions only, and not opinions, I contemplate with sovereign reverence that act of the whole American people which declared that their legislature should `make no law respecting an establishment of religion, or prohibiting the free exercise thereof, thus building a wall of separation between church and State. Adhering to this expression of the supreme will of the nation in behalf of the rights of conscience, I shall see with sincere satisfaction the progress of those sentiments which tend to restore man to all of his natural rights, convinced he has no natural right in opposition to his social duties. It means the government should not butt in with the business of God and the church. A True Marriage is between God, man, and woman. NOT Ones government or county!	Con	N	GM
comargGM	3arg3	Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates	Con	There is a mixed up message in culture today thinking the church is invading in political issues and that it has to do with our constitutional rights. This is the complete reverse of what was written in a letter by Thomas Jefferson when he stated, Believing with you that religion is a matter which lies solely between man and his God; that he owes account to none other for his faith or his worship; that the legislative powers of the government reach actions only, and not opinions, I contemplate with sovereign reverence that act of the whole American people which declared that their legislature should `make no law respecting an establishment of religion, or prohibiting the free exercise thereof, thus building a wall of separation between church and State. Adhering to this expression of the supreme will of the nation in behalf of the rights of conscience, I shall see with sincere satisfaction the progress of those sentiments which tend to restore man to all of his natural rights, convinced he has no natural right in opposition to his social duties. It means the government should not butt in with the business of God and the church. A True Marriage is between God, man, and woman. NOT Ones government or county!	Con	N	GM
comargGM	3arg4	It is discriminatory to refuse gay couples the right to marry	Pro	There is a mixed up message in culture today thinking the church is invading in political issues and that it has to do with our constitutional rights. This is the complete reverse of what was written in a letter by Thomas Jefferson when he stated, Believing with you that religion is a matter which lies solely between man and his God; that he owes account to none other for his faith or his worship; that the legislative powers of the government reach actions only, and not opinions, I contemplate with sovereign reverence that act of the whole American people which declared that their legislature should `make no law respecting an establishment of religion, or prohibiting the free exercise thereof, thus building a wall of separation between church and State. Adhering to this expression of the supreme will of the nation in behalf of the rights of conscience, I shall see with sincere satisfaction the progress of those sentiments which tend to restore man to all of his natural rights, convinced he has no natural right in opposition to his social duties. It means the government should not butt in with the business of God and the church. A True Marriage is between God, man, and woman. NOT Ones government or county!	Con	N	GM
comargGM	3arg5	Major world religions are against gay marriages	Con	There is a mixed up message in culture today thinking the church is invading in political issues and that it has to do with our constitutional rights. This is the complete reverse of what was written in a letter by Thomas Jefferson when he stated, Believing with you that religion is a matter which lies solely between man and his God; that he owes account to none other for his faith or his worship; that the legislative powers of the government reach actions only, and not opinions, I contemplate with sovereign reverence that act of the whole American people which declared that their legislature should `make no law respecting an establishment of religion, or prohibiting the free exercise thereof, thus building a wall of separation between church and State. Adhering to this expression of the supreme will of the nation in behalf of the rights of conscience, I shall see with sincere satisfaction the progress of those sentiments which tend to restore man to all of his natural rights, convinced he has no natural right in opposition to his social duties. It means the government should not butt in with the business of God and the church. A True Marriage is between God, man, and woman. NOT Ones government or county!	Con	s	GM
comargGM	3arg6	Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.	Pro	There is a mixed up message in culture today thinking the church is invading in political issues and that it has to do with our constitutional rights. This is the complete reverse of what was written in a letter by Thomas Jefferson when he stated, Believing with you that religion is a matter which lies solely between man and his God; that he owes account to none other for his faith or his worship; that the legislative powers of the government reach actions only, and not opinions, I contemplate with sovereign reverence that act of the whole American people which declared that their legislature should `make no law respecting an establishment of religion, or prohibiting the free exercise thereof, thus building a wall of separation between church and State. Adhering to this expression of the supreme will of the nation in behalf of the rights of conscience, I shall see with sincere satisfaction the progress of those sentiments which tend to restore man to all of his natural rights, convinced he has no natural right in opposition to his social duties. It means the government should not butt in with the business of God and the church. A True Marriage is between God, man, and woman. NOT Ones government or county!	Con	N	GM
comargGM	3arg7	Marriage should be between a man and a woman	Con	There is a mixed up message in culture today thinking the church is invading in political issues and that it has to do with our constitutional rights. This is the complete reverse of what was written in a letter by Thomas Jefferson when he stated, Believing with you that religion is a matter which lies solely between man and his God; that he owes account to none other for his faith or his worship; that the legislative powers of the government reach actions only, and not opinions, I contemplate with sovereign reverence that act of the whole American people which declared that their legislature should `make no law respecting an establishment of religion, or prohibiting the free exercise thereof, thus building a wall of separation between church and State. Adhering to this expression of the supreme will of the nation in behalf of the rights of conscience, I shall see with sincere satisfaction the progress of those sentiments which tend to restore man to all of his natural rights, convinced he has no natural right in opposition to his social duties. It means the government should not butt in with the business of God and the church. A True Marriage is between God, man, and woman. NOT Ones government or county!	Con	S	GM
comargGM	4arg1	Gay couples can declare their union without resort to marriage	Con	'Congress shall make no law... prohibiting the free exercise thereof; or abridging the freedom of speech' That's from the Bill of Rights. Same-sex marriage isn't wrong. It's actually sort of genetic. The Bible isn't meant to dictate what laws should be vetoed or voted for. Religion will never fit with Politics. There are just too many religions, and us Athiests are tired of it! We need to stop all our fussing about this so-called 'Bible' and focus on something like our economy!	Pro	N	GM
comargGM	4arg2	Gay couples should be able to take advantage of the fiscal and legal benefits of marriage	Pro	'Congress shall make no law... prohibiting the free exercise thereof; or abridging the freedom of speech' That's from the Bill of Rights. Same-sex marriage isn't wrong. It's actually sort of genetic. The Bible isn't meant to dictate what laws should be vetoed or voted for. Religion will never fit with Politics. There are just too many religions, and us Athiests are tired of it! We need to stop all our fussing about this so-called 'Bible' and focus on something like our economy!	Pro	N	GM
comargGM	4arg3	Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates	Con	'Congress shall make no law... prohibiting the free exercise thereof; or abridging the freedom of speech' That's from the Bill of Rights. Same-sex marriage isn't wrong. It's actually sort of genetic. The Bible isn't meant to dictate what laws should be vetoed or voted for. Religion will never fit with Politics. There are just too many religions, and us Athiests are tired of it! We need to stop all our fussing about this so-called 'Bible' and focus on something like our economy!	Pro	N	GM
comargGM	4arg5	Major world religions are against gay marriages	Con	'Congress shall make no law... prohibiting the free exercise thereof; or abridging the freedom of speech' That's from the Bill of Rights. Same-sex marriage isn't wrong. It's actually sort of genetic. The Bible isn't meant to dictate what laws should be vetoed or voted for. Religion will never fit with Politics. There are just too many religions, and us Athiests are tired of it! We need to stop all our fussing about this so-called 'Bible' and focus on something like our economy!	Pro	A	GM
comargGM	4arg6	Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.	Pro	'Congress shall make no law... prohibiting the free exercise thereof; or abridging the freedom of speech' That's from the Bill of Rights. Same-sex marriage isn't wrong. It's actually sort of genetic. The Bible isn't meant to dictate what laws should be vetoed or voted for. Religion will never fit with Politics. There are just too many religions, and us Athiests are tired of it! We need to stop all our fussing about this so-called 'Bible' and focus on something like our economy!	Pro	N	GM
comargGM	4arg7	Marriage should be between a man and a woman	Con	'Congress shall make no law... prohibiting the free exercise thereof; or abridging the freedom of speech' That's from the Bill of Rights. Same-sex marriage isn't wrong. It's actually sort of genetic. The Bible isn't meant to dictate what laws should be vetoed or voted for. Religion will never fit with Politics. There are just too many religions, and us Athiests are tired of it! We need to stop all our fussing about this so-called 'Bible' and focus on something like our economy!	Pro	a	GM
comargGM	5arg1	Gay couples can declare their union without resort to marriage	Con	A lot of the comments I see on the right have to do with it not being right or going against the Bible. Since when are we a theocracy? Freedom of religion, people! Even going along with the Bible thing, it also sanctioned farmers selling their daughters as slaves. Should that be practiced, too, then? The Bible does not run our laws and government. One more thing: when the South was just becoming desegregated, many were against it. They said that it just wasn't right to be using the same facilities as blacks. Is this not the same thing? Just because we're brought up to believe that it's wrong doesn't mean it is wrong.	Pro	N	GM
comargGM	5arg2	Gay couples should be able to take advantage of the fiscal and legal benefits of marriage	Pro	A lot of the comments I see on the right have to do with it not being right or going against the Bible. Since when are we a theocracy? Freedom of religion, people! Even going along with the Bible thing, it also sanctioned farmers selling their daughters as slaves. Should that be practiced, too, then? The Bible does not run our laws and government. One more thing: when the South was just becoming desegregated, many were against it. They said that it just wasn't right to be using the same facilities as blacks. Is this not the same thing? Just because we're brought up to believe that it's wrong doesn't mean it is wrong.	Pro	N	GM
comargGM	5arg3	Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates	Con	A lot of the comments I see on the right have to do with it not being right or going against the Bible. Since when are we a theocracy? Freedom of religion, people! Even going along with the Bible thing, it also sanctioned farmers selling their daughters as slaves. Should that be practiced, too, then? The Bible does not run our laws and government. One more thing: when the South was just becoming desegregated, many were against it. They said that it just wasn't right to be using the same facilities as blacks. Is this not the same thing? Just because we're brought up to believe that it's wrong doesn't mean it is wrong.	Pro	N	GM
comargGM	5arg4	It is discriminatory to refuse gay couples the right to marry	Pro	A lot of the comments I see on the right have to do with it not being right or going against the Bible. Since when are we a theocracy? Freedom of religion, people! Even going along with the Bible thing, it also sanctioned farmers selling their daughters as slaves. Should that be practiced, too, then? The Bible does not run our laws and government. One more thing: when the South was just becoming desegregated, many were against it. They said that it just wasn't right to be using the same facilities as blacks. Is this not the same thing? Just because we're brought up to believe that it's wrong doesn't mean it is wrong.	Pro	s	GM
comargGM	5arg5	Major world religions are against gay marriages	Con	A lot of the comments I see on the right have to do with it not being right or going against the Bible. Since when are we a theocracy? Freedom of religion, people! Even going along with the Bible thing, it also sanctioned farmers selling their daughters as slaves. Should that be practiced, too, then? The Bible does not run our laws and government. One more thing: when the South was just becoming desegregated, many were against it. They said that it just wasn't right to be using the same facilities as blacks. Is this not the same thing? Just because we're brought up to believe that it's wrong doesn't mean it is wrong.	Pro	A	GM
comargGM	5arg6	Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.	Pro	A lot of the comments I see on the right have to do with it not being right or going against the Bible. Since when are we a theocracy? Freedom of religion, people! Even going along with the Bible thing, it also sanctioned farmers selling their daughters as slaves. Should that be practiced, too, then? The Bible does not run our laws and government. One more thing: when the South was just becoming desegregated, many were against it. They said that it just wasn't right to be using the same facilities as blacks. Is this not the same thing? Just because we're brought up to believe that it's wrong doesn't mean it is wrong.	Pro	N	GM
comargGM	6arg1	Gay couples can declare their union without resort to marriage	Con	Absollutely, gay marriage should be allowed. The contingency that some view marriage is religous values, however in the US we are guanranteed religous freedom under the constition, who is to say what each US citizens beleif in these values are? I also beleive when 2 people committ to each other in love  matrimony  deticate their lives to each other-who has a moral right to object? Lovedevotion should not be interferred with. Laws are to protect people not to constrain choices that cause no harm. No matter what an individuals beleifs are laws should not forbade the freedom of choice. Besides who is to say God would prevent love? God is love. As for those who say marriage is about procreation-what about those who cant have children, should they not be allowed to marry? God is w/in a person, the church may not be caught up w/Gods love,or caught up w/Gods love for all? There is no impirical evidence that gay marriages would cause divorce w/hetrosexuals-they been getting divorce for multiple years on their own. And what I dont get is why would a person care-or prevent those that want to married no matter the sex want to stop freedom of choice, whether by laws or by discrimination?	Pro	N	GM
comargGM	6arg2	Gay couples should be able to take advantage of the fiscal and legal benefits of marriage	Pro	Absollutely, gay marriage should be allowed. The contingency that some view marriage is religous values, however in the US we are guanranteed religous freedom under the constition, who is to say what each US citizens beleif in these values are? I also beleive when 2 people committ to each other in love  matrimony  deticate their lives to each other-who has a moral right to object? Lovedevotion should not be interferred with. Laws are to protect people not to constrain choices that cause no harm. No matter what an individuals beleifs are laws should not forbade the freedom of choice. Besides who is to say God would prevent love? God is love. As for those who say marriage is about procreation-what about those who cant have children, should they not be allowed to marry? God is w/in a person, the church may not be caught up w/Gods love,or caught up w/Gods love for all? There is no impirical evidence that gay marriages would cause divorce w/hetrosexuals-they been getting divorce for multiple years on their own. And what I dont get is why would a person care-or prevent those that want to married no matter the sex want to stop freedom of choice, whether by laws or by discrimination?	Pro	N	GM
comargGM	6arg3	Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates	Con	Absollutely, gay marriage should be allowed. The contingency that some view marriage is religous values, however in the US we are guanranteed religous freedom under the constition, who is to say what each US citizens beleif in these values are? I also beleive when 2 people committ to each other in love  matrimony  deticate their lives to each other-who has a moral right to object? Lovedevotion should not be interferred with. Laws are to protect people not to constrain choices that cause no harm. No matter what an individuals beleifs are laws should not forbade the freedom of choice. Besides who is to say God would prevent love? God is love. As for those who say marriage is about procreation-what about those who cant have children, should they not be allowed to marry? God is w/in a person, the church may not be caught up w/Gods love,or caught up w/Gods love for all? There is no impirical evidence that gay marriages would cause divorce w/hetrosexuals-they been getting divorce for multiple years on their own. And what I dont get is why would a person care-or prevent those that want to married no matter the sex want to stop freedom of choice, whether by laws or by discrimination?	Pro	A	GM
comargGM	6arg4	It is discriminatory to refuse gay couples the right to marry	Pro	Absollutely, gay marriage should be allowed. The contingency that some view marriage is religous values, however in the US we are guanranteed religous freedom under the constition, who is to say what each US citizens beleif in these values are? I also beleive when 2 people committ to each other in love  matrimony  deticate their lives to each other-who has a moral right to object? Lovedevotion should not be interferred with. Laws are to protect people not to constrain choices that cause no harm. No matter what an individuals beleifs are laws should not forbade the freedom of choice. Besides who is to say God would prevent love? God is love. As for those who say marriage is about procreation-what about those who cant have children, should they not be allowed to marry? God is w/in a person, the church may not be caught up w/Gods love,or caught up w/Gods love for all? There is no impirical evidence that gay marriages would cause divorce w/hetrosexuals-they been getting divorce for multiple years on their own. And what I dont get is why would a person care-or prevent those that want to married no matter the sex want to stop freedom of choice, whether by laws or by discrimination?	Pro	S	GM
comargGM	6arg5	Major world religions are against gay marriages	Con	Absollutely, gay marriage should be allowed. The contingency that some view marriage is religous values, however in the US we are guanranteed religous freedom under the constition, who is to say what each US citizens beleif in these values are? I also beleive when 2 people committ to each other in love  matrimony  deticate their lives to each other-who has a moral right to object? Lovedevotion should not be interferred with. Laws are to protect people not to constrain choices that cause no harm. No matter what an individuals beleifs are laws should not forbade the freedom of choice. Besides who is to say God would prevent love? God is love. As for those who say marriage is about procreation-what about those who cant have children, should they not be allowed to marry? God is w/in a person, the church may not be caught up w/Gods love,or caught up w/Gods love for all? There is no impirical evidence that gay marriages would cause divorce w/hetrosexuals-they been getting divorce for multiple years on their own. And what I dont get is why would a person care-or prevent those that want to married no matter the sex want to stop freedom of choice, whether by laws or by discrimination?	Pro	A	GM
comargGM	6arg6	Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.	Pro	Absollutely, gay marriage should be allowed. The contingency that some view marriage is religous values, however in the US we are guanranteed religous freedom under the constition, who is to say what each US citizens beleif in these values are? I also beleive when 2 people committ to each other in love  matrimony  deticate their lives to each other-who has a moral right to object? Lovedevotion should not be interferred with. Laws are to protect people not to constrain choices that cause no harm. No matter what an individuals beleifs are laws should not forbade the freedom of choice. Besides who is to say God would prevent love? God is love. As for those who say marriage is about procreation-what about those who cant have children, should they not be allowed to marry? God is w/in a person, the church may not be caught up w/Gods love,or caught up w/Gods love for all? There is no impirical evidence that gay marriages would cause divorce w/hetrosexuals-they been getting divorce for multiple years on their own. And what I dont get is why would a person care-or prevent those that want to married no matter the sex want to stop freedom of choice, whether by laws or by discrimination?	Pro	S	GM
comargGM	6arg7	Marriage should be between a man and a woman	Con	Absollutely, gay marriage should be allowed. The contingency that some view marriage is religous values, however in the US we are guanranteed religous freedom under the constition, who is to say what each US citizens beleif in these values are? I also beleive when 2 people committ to each other in love  matrimony  deticate their lives to each other-who has a moral right to object? Lovedevotion should not be interferred with. Laws are to protect people not to constrain choices that cause no harm. No matter what an individuals beleifs are laws should not forbade the freedom of choice. Besides who is to say God would prevent love? God is love. As for those who say marriage is about procreation-what about those who cant have children, should they not be allowed to marry? God is w/in a person, the church may not be caught up w/Gods love,or caught up w/Gods love for all? There is no impirical evidence that gay marriages would cause divorce w/hetrosexuals-they been getting divorce for multiple years on their own. And what I dont get is why would a person care-or prevent those that want to married no matter the sex want to stop freedom of choice, whether by laws or by discrimination?	Pro	A	GM
comargGM	7arg1	Gay couples can declare their union without resort to marriage	Con	Absolutely No. Who are we to rewrite the creator of this world's view on what marriage is? They deserve the civil union and employment security laws, but rewriting the definition of marriage is going too far!	Con	S	GM
comargGM	7arg2	Gay couples should be able to take advantage of the fiscal and legal benefits of marriage	Pro	Absolutely No. Who are we to rewrite the creator of this world's view on what marriage is? They deserve the civil union and employment security laws, but rewriting the definition of marriage is going too far!	Con	s	GM
comargGM	7arg3	Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates	Con	Absolutely No. Who are we to rewrite the creator of this world's view on what marriage is? They deserve the civil union and employment security laws, but rewriting the definition of marriage is going too far!	Con	N	GM
comargGM	7arg5	Major world religions are against gay marriages	Con	Absolutely No. Who are we to rewrite the creator of this world's view on what marriage is? They deserve the civil union and employment security laws, but rewriting the definition of marriage is going too far!	Con	s	GM
comargGM	7arg6	Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.	Pro	Absolutely No. Who are we to rewrite the creator of this world's view on what marriage is? They deserve the civil union and employment security laws, but rewriting the definition of marriage is going too far!	Con	N	GM
comargGM	7arg7	Marriage should be between a man and a woman	Con	Absolutely No. Who are we to rewrite the creator of this world's view on what marriage is? They deserve the civil union and employment security laws, but rewriting the definition of marriage is going too far!	Con	S	GM
comargGM	8arg1	Gay couples can declare their union without resort to marriage	Con	All these arguments on my left are and have always been FALSE. Marriage is between a MAN and a WOMAN by divine definition. Sorry but, end of story.	Con	N	GM
comargGM	8arg2	Gay couples should be able to take advantage of the fiscal and legal benefits of marriage	Pro	All these arguments on my left are and have always been FALSE. Marriage is between a MAN and a WOMAN by divine definition. Sorry but, end of story.	Con	N	GM
comargGM	8arg3	Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates	Con	All these arguments on my left are and have always been FALSE. Marriage is between a MAN and a WOMAN by divine definition. Sorry but, end of story.	Con	N	GM
comargGM	8arg4	It is discriminatory to refuse gay couples the right to marry	Pro	All these arguments on my left are and have always been FALSE. Marriage is between a MAN and a WOMAN by divine definition. Sorry but, end of story.	Con	a	GM
comargGM	8arg5	Major world religions are against gay marriages	Con	All these arguments on my left are and have always been FALSE. Marriage is between a MAN and a WOMAN by divine definition. Sorry but, end of story.	Con	s	GM
comargGM	8arg6	Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.	Pro	All these arguments on my left are and have always been FALSE. Marriage is between a MAN and a WOMAN by divine definition. Sorry but, end of story.	Con	N	GM
comargGM	8arg7	Marriage should be between a man and a woman	Con	All these arguments on my left are and have always been FALSE. Marriage is between a MAN and a WOMAN by divine definition. Sorry but, end of story.	Con	S	GM
